States,x,y
Andhra Pradesh,-70.0,-172.0
Arunachal Pradesh,212.0,91.0
Assam,181.0,51.0
Bihar,48.0,38.0
Chhattisgarh,-20.0,-44.0
Goa,-157.0,-156.0
Gujarat,-201.0,-7.0
Haryana,-114.0,109.0
Himachal Pradesh,-99.0,162.0
Jharkhand,38.0,4.0
Karnataka,-122.0,-196.0
Kerala,-119.0,-252.0
Madhya Pradesh,-86.0,-9.0
Maharashtra,-134.0,-85.0
Manipur,210.0,23.0
Meghalaya,152.0,38.0
Mizoram,188.0,-12.0
Nagaland,224.0,52.0
Odisha,41.0,-61.0
Punjab,-131.0,136.0
Rajasthan,-169.0,59.0
Sikkim,102.0,74.0
Tamil Nadu,-74.0,-236.0
Telangana,-70.0,-112.0
Tripura,155.0,8.0
Uttar Pradesh,-44.0,61.0
Uttarakhand,-54.0,133.0
West Bengal,98.0,-13.0
