German,English
störrischer,stubborn
bemühunngen,efforts
vorübergehend,temporarily
verdrangen,to displace
Einschätzung,assessment
fällig,due
Gegenstand,object
Reichweite,reach
Beforzugen,to prefer
veranlagt,minded
ausreichend,sufficient
ballen,to come together
gewährleisten,to guarantee
Zugriff,access
Zusammenfassung,summary
zutreffen,to apply
zeitaufwendig,time consuming
Aufwand,expenditure
ratsam,advisable
Voraussetzungen,requirements
taub,deaf
erstatten,refund
Erwerbstaetigkeit,employment
keinerlei,none whatsoever
Aufstocken,to increase / to add another floor
Führungskraft,executive
Anzeige,legal proceedings
jeweils,each
mitunter,occasionally
gefordert,required
entsprechend,in accordance
unverzüglich,immediately
verzichten,forgo
wehrlos,defenseless
vorsatz,intent
betreffend,concerning
betroffen,concerned
beglaubigen,attest
auf tauchen,to emerge
zunächst,firstly
Flitterwochen,honeyboon
erherblich,substancial
urkunde,certificate
anspruch,claim
anspruchvoll,ambitious
verfassung,Constitution
erfassung,registration / capture
haushalt,budget
ausbau,expansion
verhältnis,conditions
Anforderung,condition
anstrengung,effort
verzögern,to delay
schwindel,dizziness
gleichgewicht,balance
schielen,loucher
gegener,opponent
unübersichtlich,confusing
Gegenstand,subject / object
heimlich,secretly
einschätzen,to assess
unwürdig,unworthy
quer,crosswise
jeweils,in each case / each
Gewähr,guarantee
Haftung,liability
reichlich,plentyful
einschätzung,estimate
trottel,fool
ermunternd,encouraging
erworbener,acquired
Zuwendung,donation
Entlastungen,exoneration
überführen,to convict
Gläubiger,creditor
gegensäzlich,opposite
dementsprechend,accordingly
verzeichnen,to record
aufputschmittel,stimulant (substance)
betäubungsmittel,anesthesiant
Heuchelei,hypocrisy
umgebung,environment
umgang,handling
bedingungen,conditions
vorteil,advantage
gewähren,to grant
mandant,client
makler,broker / estate agent
lediglich,merely
willkürlich,arbitrary / ily
bestand,duration
bestanded,to pass / to persist
bezieher,subscriber
beschlossen,to decide
wohnungsbau,housing / house building
nichtskönner,bons-a-rien
überwinden,overcome
feststellen,determine / establish
ausgeprägt,pronounced
auswendig,by heart
selbstbewusstsein,self confidence
orten,to locate
geortet,tracked
vermutet,presume
übertragen,transfer
begabt,talented
schlagartig,suddently
bewirken,to cause / to effect
belasten,to stress / to charge
mastvieh,beef cattle
qualen,misery / torment
Gnade,a grace (like blesssing)
gelangen,to reach
